,release_month,pl_nnotes,pl_controv_flag,elat,elon,glat,cb_flag,glon,ra,dec,ttv_flag,sy_pnum,sy_snum,release_year,pl_ndispec,pl_ntranspec,pl_nespec,st_nspec,st_nrvc,st_nphot,disc_year,sy_vmag,sy_tmag,sy_jmag,sy_hmag,sy_kmag,sy_pmra,sy_pmdec,sy_pm,sy_gaiamag,sy_bmag,st_rad,sy_dist,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_plx,st_teff,pl_orbper,sy_kepmag,st_mass,soltype_Kepler Project Candidate (q1_q12_koi),soltype_Kepler Project Candidate (q1_q16_koi),soltype_Kepler Project Candidate (q1_q17_dr24_koi),soltype_Kepler Project Candidate (q1_q17_dr25_koi),soltype_Kepler Project Candidate (q1_q8_koi),soltype_Published Candidate,soltype_Published Confirmed,disc_telescope_0.10 m Schmidt Telescope,disc_telescope_0.18 m Takahashi Epsilon Astrograph,disc_telescope_0.95 m Kepler Telescope,disc_telescope_Canon 200mm f/1.8L,disc_telescope_Canon 400mm f/2.8L,discoverymethod_Orbital Brightness Modulation,discoverymethod_Transit,discoverymethod_Transit Timing Variations,disc_instrument_2K CCD Sensor,disc_instrument_Apogee 4K CCD Sensor,disc_instrument_FLI ProLine 4K CCD Sensor,disc_instrument_Kepler CCD Array,disc_instrument_iKon-L CCD Camera,disc_facility_HATNet,disc_facility_HATSouth,disc_facility_K2,disc_facility_Kepler,disc_facility_Qatar,disc_facility_SuperWASP,disc_facility_SuperWASP-South,disc_facility_TrES,disc_locale_Ground,disc_locale_Space
1492,7,0,0,4.17585,99.65368,10.42964,0,187.53757,100.8480137,27.2521823,0,1,1,2016,0,0,0,0,0,1,2015.0,10.92,10.5136,10.068,9.881,9.83,-8.16147,-22.9542,24.3619558,10.8245,11.291,1.88,320.639,9.799,9.833,9.83,8.516,3.09123,6863.0,2.790963,10.9,1.53,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1554,3,4,0,68.12398,312.86431,13.97537,0,80.03294,292.24719,47.9695429,1,1,3,2019,0,3,10,0,3,13,2008.0,10.481,10.0274,9.555,9.344,9.334,-18.2812,8.91006,20.3369477,10.3654,10.964,2.0,341.079,9.275,9.3,9.282,8.928001,2.9031,6350.0,2.204737,10.463,1.51,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1555,5,4,0,68.12398,312.86431,13.97537,0,80.03294,292.24719,47.9695429,1,1,3,2016,0,3,10,0,3,13,2008.0,10.481,10.0274,9.555,9.344,9.334,-18.2812,8.91006,20.3369477,10.3654,10.964,1.96,341.079,9.275,9.3,9.282,8.928001,2.9031,6360.0,2.204735365,10.463,1.47,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1557,10,4,0,68.12398,312.86431,13.97537,0,80.03294,292.24719,47.9695429,1,1,3,2013,0,3,10,0,3,13,2008.0,10.481,10.0274,9.555,9.344,9.334,-18.2812,8.91006,20.3369477,10.3654,10.964,2.71,341.079,9.275,9.3,9.282,8.928001,2.9031,6264.0,2.20473537,10.463,1.66,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1558,11,4,0,68.12398,312.86431,13.97537,0,80.03294,292.24719,47.9695429,1,1,3,2014,0,3,10,0,3,13,2008.0,10.481,10.0274,9.555,9.344,9.334,-18.2812,8.91006,20.3369477,10.3654,10.964,1.991,341.079,9.275,9.3,9.282,8.928001,2.9031,6350.0,2.204735365,10.463,1.52,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1559,11,4,0,68.12398,312.86431,13.97537,0,80.03294,292.24719,47.9695429,1,1,3,2014,0,3,10,0,3,13,2008.0,10.481,10.0274,9.555,9.344,9.334,-18.2812,8.91006,20.3369477,10.3654,10.964,1.991,341.079,9.275,9.3,9.282,8.928001,2.9031,6350.0,2.204735365,10.463,1.52,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1560,8,4,0,68.12398,312.86431,13.97537,0,80.03294,292.24719,47.9695429,1,1,3,2015,0,3,10,0,3,13,2008.0,10.481,10.0274,9.555,9.344,9.334,-18.2812,8.91006,20.3369477,10.3654,10.964,1.991,341.079,9.275,9.3,9.282,8.928001,2.9031,6350.0,2.204735365,10.463,1.52,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1561,5,4,0,68.12398,312.86431,13.97537,0,80.03294,292.24719,47.9695429,1,1,3,2017,0,3,10,0,3,13,2008.0,10.481,10.0274,9.555,9.344,9.334,-18.2812,8.91006,20.3369477,10.3654,10.964,1.952,341.079,9.275,9.3,9.282,8.928001,2.9031,6440.0,2.204735417,10.463,1.449,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1567,12,4,0,68.12398,312.86431,13.97537,0,80.03294,292.24719,47.9695429,1,1,3,2024,0,3,10,0,3,13,2008.0,10.481,10.0274,9.555,9.344,9.334,-18.2812,8.91006,20.3369477,10.3654,10.964,1.973,341.079,9.275,9.3,9.282,8.928001,2.9031,6449.0,2.204735365,10.463,1.515,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1569,5,4,0,68.12398,312.86431,13.97537,0,80.03294,292.24719,47.9695429,1,1,3,2014,0,3,10,0,3,13,2008.0,10.481,10.0274,9.555,9.344,9.334,-18.2812,8.91006,20.3369477,10.3654,10.964,1.99356,341.079,9.275,9.3,9.282,8.928001,2.9031,6532.23,2.204737,10.463,1.347,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1570,1,4,0,68.12398,312.86431,13.97537,0,80.03294,292.24719,47.9695429,1,1,3,2016,0,3,10,0,3,13,2008.0,10.481,10.0274,9.555,9.344,9.334,-18.2812,8.91006,20.3369477,10.3654,10.964,1.955,341.079,9.275,9.3,9.282,8.928001,2.9031,6350.0,2.2047304,10.463,1.511,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1571,10,4,0,68.12398,312.86431,13.97537,0,80.03294,292.24719,47.9695429,1,1,3,2015,0,3,10,0,3,13,2008.0,10.481,10.0274,9.555,9.344,9.334,-18.2812,8.91006,20.3369477,10.3654,10.964,1.84,341.079,9.275,9.3,9.282,8.928001,2.9031,6350.0,2.2047354,10.463,1.47,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1572,8,4,0,68.12398,312.86431,13.97537,0,80.03294,292.24719,47.9695429,1,1,3,2016,0,3,10,0,3,13,2008.0,10.481,10.0274,9.555,9.344,9.334,-18.2812,8.91006,20.3369477,10.3654,10.964,1.84,341.079,9.275,9.3,9.282,8.928001,2.9031,6441.0,2.2047372,10.463,1.47,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1614,9,0,0,-0.14734,287.88266,-15.5115,0,15.35571,289.4007603,-22.3900092,0,1,1,2016,0,0,0,0,0,0,2016.0,14.06,13.3735,12.647,12.315,12.243,2.13932,-20.127,20.240376,13.8333,14.657,1.444,944.603,12.183,12.224,12.355,8.971,1.03135,6060.0,3.6191613,13.737,1.0,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
1617,1,0,0,-0.14734,287.88266,-15.5115,0,15.35571,289.4007603,-22.3900092,0,1,1,2018,0,0,0,0,0,0,2016.0,14.06,13.3735,12.647,12.315,12.243,2.13932,-20.127,20.240376,13.8333,14.657,1.46198,944.603,12.183,12.224,12.355,8.971,1.03135,5871.0,3.6191634,13.737,1.06,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
1744,3,1,0,-1.21836,289.66693,-17.59239,0,15.35677,291.4787013,-23.2028183,0,1,1,2018,0,0,0,0,0,0,2018.0,14.364,13.7805,13.181,12.855,12.809,2.19878,-7.57087,7.8836988,14.233,15.06,1.155,856.436,12.741,12.816,11.815,8.621,1.13973,6149.0,4.1752387,14.3,1.222,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
1923,1,0,0,1.87579,289.48793,-15.82835,0,18.0176,290.8101704,-20.1663771,0,1,1,2018,0,0,0,0,0,0,2015.0,13.256,12.5866,11.885,11.558,11.479,8.56622,-6.99228,11.0576718,13.0983,14.083,1.58042,638.7,11.433,11.539,11.032,8.768,1.53764,5494.0,1.915311,13.095,0.963,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
1924,3,0,0,1.87579,289.48793,-15.82835,0,18.0176,290.8101704,-20.1663771,0,1,1,2019,0,0,0,0,0,0,2015.0,13.256,12.5866,11.885,11.558,11.479,8.56622,-6.99228,11.0576718,13.0983,14.083,1.503,638.7,11.433,11.539,11.032,8.768,1.53764,5366.0,1.9153073,13.095,1.03,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
1928,5,0,0,1.87579,289.48793,-15.82835,0,18.0176,290.8101704,-20.1663771,0,1,1,2015,0,0,0,0,0,0,2015.0,13.256,12.5866,11.885,11.558,11.479,8.56622,-6.99228,11.0576718,13.0983,14.083,1.503,638.7,11.433,11.539,11.032,8.768,1.53764,5366.0,1.9153073,13.095,1.03,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
2010,3,1,0,1.01948,183.33896,61.03534,0,283.25037,183.4724742,-0.3934357,0,2,1,2022,0,0,0,0,0,0,2017.0,8.951,8.56338,8.116,7.962,7.853,-2.66228,11.9879,12.2799626,8.88841,9.4,1.29,109.353,7.794,7.85,7.839,8.168,9.11629,6277.0,9.55804,9.234,1.08,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
2011,9,1,0,1.01948,183.33896,61.03534,0,283.25037,183.4724742,-0.3934357,0,2,1,2017,0,0,0,0,0,0,2017.0,8.951,8.56338,8.116,7.962,7.853,-2.66228,11.9879,12.2799626,8.88841,9.4,1.281,109.353,7.794,7.85,7.839,8.168,9.11629,6254.0,9.55385,9.234,1.027,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
