,0
pl_nespec st_mass,0.0
pl_nespec soltype_Kepler Project Candidate (q1_q17_dr25_koi),0.0
pl_nespec soltype_Published Confirmed,0.0
pl_nespec pl_tsystemref_BJD,0.0
pl_nespec pl_tsystemref_BJD-TDB,0.0
pl_nespec pl_tsystemref_BJD-UTC,0.0
pl_nespec pl_tsystemref_HJD,0.0
pl_nespec pl_tsystemref_JD,0.0
pl_ntranspec^2,0.0
pl_ntranspec pl_ndispec,0.0
pl_ntranspec release_year,0.0
pl_ntranspec st_nphot,0.0
pl_ntranspec st_nrvc,-0.0
pl_ntranspec pl_controv_flag,0.0
pl_ntranspec disc_year,0.0
pl_ntranspec sy_tmag,0.0
pl_ntranspec sy_kmag,0.0
pl_ntranspec sy_jmag,0.0
pl_ntranspec sy_hmag,0.0
pl_ntranspec sy_vmag,0.0
pl_ntranspec sy_pm,0.0
pl_ntranspec sy_pmdec,0.0
pl_ntranspec sy_pmra,-0.0
pl_ntranspec pl_orbper,0.0
pl_ntranspec sy_gaiamag,0.0
pl_ntranspec st_rad,0.0
pl_ntranspec sy_bmag,0.0
pl_ntranspec sy_dist,0.0
pl_ntranspec st_teff,0.0
pl_ntranspec sy_w2mag,0.0
pl_ntranspec sy_w1mag,0.0
pl_ntranspec sy_w3mag,0.0
pl_ntranspec sy_w4mag,0.0
pl_ntranspec sy_plx,0.0
pl_ntranspec st_logg,0.0
pl_ntranspec st_mass,0.0
pl_ntranspec soltype_Kepler Project Candidate (q1_q17_dr25_koi),0.0
pl_ntranspec soltype_Published Confirmed,0.0
pl_ntranspec pl_tsystemref_BJD,0.0
pl_ntranspec pl_tsystemref_BJD-TDB,0.0
pl_ntranspec pl_tsystemref_BJD-UTC,0.0
pl_ntranspec pl_tsystemref_HJD,0.0
pl_ntranspec pl_tsystemref_JD,0.0
pl_ndispec^2,0.0
pl_ndispec release_year,0.0
pl_ndispec st_nphot,0.0
pl_ndispec st_nrvc,0.0
pl_ndispec pl_controv_flag,0.0
pl_ndispec disc_year,0.0
pl_ndispec sy_tmag,0.0
pl_ndispec sy_kmag,0.0
pl_ndispec sy_jmag,0.0
pl_ndispec sy_hmag,0.0
pl_ndispec sy_vmag,0.0
pl_ndispec sy_pm,0.0
pl_ndispec sy_pmdec,0.0
pl_ndispec sy_pmra,0.0
pl_ndispec pl_orbper,0.0
pl_ndispec sy_gaiamag,0.0
pl_ndispec st_rad,0.0
pl_ndispec sy_bmag,0.0
pl_ndispec sy_dist,0.0
pl_ndispec st_teff,0.0
pl_ndispec sy_w2mag,0.0
pl_ndispec sy_w1mag,0.0
pl_ndispec sy_w3mag,0.0
pl_ndispec sy_w4mag,0.0
pl_ndispec sy_plx,0.0
pl_ndispec st_logg,0.0
pl_ndispec st_mass,0.0
pl_ndispec soltype_Kepler Project Candidate (q1_q17_dr25_koi),0.0
pl_ndispec soltype_Published Confirmed,0.0
pl_ndispec pl_tsystemref_BJD,0.0
pl_ndispec pl_tsystemref_BJD-TDB,0.0
pl_ndispec pl_tsystemref_BJD-UTC,0.0
pl_ndispec pl_tsystemref_HJD,0.0
pl_ndispec pl_tsystemref_JD,0.0
release_year^2,-0.0
release_year st_nphot,0.0
release_year st_nrvc,0.0
release_year pl_controv_flag,-0.0
release_year disc_year,-0.0
release_year sy_tmag,0.0
release_year sy_kmag,0.0
release_year sy_jmag,0.0
release_year sy_hmag,0.0
release_year sy_vmag,0.0
release_year sy_pm,-0.0
release_year sy_pmdec,-0.0
release_year sy_pmra,-0.0
release_year pl_orbper,0.0
release_year sy_gaiamag,0.0
release_year st_rad,0.0
release_year sy_bmag,0.0
release_year sy_dist,0.0
release_year st_teff,0.0
release_year sy_w2mag,0.0
release_year sy_w1mag,0.0
release_year sy_w3mag,0.0
release_year sy_w4mag,-0.0
release_year sy_plx,-0.0
release_year st_logg,-0.0
release_year st_mass,0.0
release_year soltype_Kepler Project Candidate (q1_q17_dr25_koi),-0.0
release_year soltype_Published Confirmed,0.0
release_year pl_tsystemref_BJD,0.0
release_year pl_tsystemref_BJD-TDB,0.0
release_year pl_tsystemref_BJD-UTC,-0.0
release_year pl_tsystemref_HJD,0.0
release_year pl_tsystemref_JD,-0.0
st_nphot^2,0.0
st_nphot st_nrvc,0.0
st_nphot pl_controv_flag,0.0
st_nphot disc_year,0.0
st_nphot sy_tmag,0.0
st_nphot sy_kmag,0.0
st_nphot sy_jmag,0.0
st_nphot sy_hmag,0.0
st_nphot sy_vmag,0.0
st_nphot sy_pm,0.0
st_nphot sy_pmdec,-0.0
st_nphot sy_pmra,-0.0
st_nphot pl_orbper,0.0
st_nphot sy_gaiamag,0.0
st_nphot st_rad,0.0
st_nphot sy_bmag,0.0
st_nphot sy_dist,0.0
st_nphot st_teff,0.0
st_nphot sy_w2mag,0.0
st_nphot sy_w1mag,0.0
st_nphot sy_w3mag,0.0
st_nphot sy_w4mag,0.0
st_nphot sy_plx,0.0
st_nphot st_logg,0.0
st_nphot st_mass,0.0
st_nphot soltype_Kepler Project Candidate (q1_q17_dr25_koi),0.0
st_nphot soltype_Published Confirmed,0.0
st_nphot pl_tsystemref_BJD,0.0
st_nphot pl_tsystemref_BJD-TDB,0.0
st_nphot pl_tsystemref_BJD-UTC,0.0
st_nphot pl_tsystemref_HJD,-0.0
st_nphot pl_tsystemref_JD,0.0
st_nrvc^2,0.0
st_nrvc pl_controv_flag,0.0
st_nrvc disc_year,0.0
st_nrvc sy_tmag,0.0
st_nrvc sy_kmag,0.0
st_nrvc sy_jmag,0.0
st_nrvc sy_hmag,0.0
st_nrvc sy_vmag,0.0
st_nrvc sy_pm,-0.0
st_nrvc sy_pmdec,-0.0
