,release_month,sy_snum,sy_pnum,cb_flag,ttv_flag,pl_nnotes,elon,elat,glon,glat,dec,ra,st_nspec,pl_nespec,pl_ntranspec,pl_ndispec,release_year,st_nphot,st_nrvc,pl_controv_flag,disc_year,sy_tmag,sy_kmag,sy_jmag,sy_hmag,sy_vmag,sy_pm,sy_pmdec,sy_pmra,pl_orbper,sy_gaiamag,st_rad,sy_bmag,sy_dist,st_teff,sy_w2mag,sy_w1mag,sy_w3mag,sy_w4mag,sy_plx,st_logg,st_mass,soltype_Kepler Project Candidate (q1_q17_dr25_koi),soltype_Published Confirmed,pl_tsystemref_BJD,pl_tsystemref_BJD-TDB,pl_tsystemref_BJD-UTC,pl_tsystemref_HJD,pl_tsystemref_JD,log radius
31661,5,1,1,0,0,1,299.44675,68.05259,76.41857,17.56485,46.1809293,285.3913092,0,0,0,0,2016,0,0,0,2016.0,15.1716,13.82,14.385,14.017,15.809,3.7924699,-0.846942,-3.69669,3.60147201,15.7425,0.81,17.0,1005.43,5217.0,13.847,13.779,12.755,8.706,0.966426,4.56,0.86,False,True,False,False,False,False,True,0.46686762035410945
31676,5,1,1,0,0,1,310.66868,66.80734,78.48381,13.55465,46.4291614,291.8629793,0,0,0,0,2016,0,0,0,2016.0,14.1478,12.097,12.91,12.293,15.971,28.2398114,-19.8763,20.0604,28.59915399,15.1457,0.48,17.861,205.118,3813.0,11.924,11.969,11.673,9.487001,4.84652,4.77,0.51,False,True,False,False,False,False,True,0.292256071356476
31681,5,1,1,0,0,1,303.58607,67.96858,77.37763,16.31317,46.5679011,287.5696516,0,0,0,0,2016,0,0,0,2016.0,15.0627,13.818,14.311,13.855,15.793,5.5784355,5.51165,0.860614,24.58721573,15.5908,0.82,16.659,1113.65,5327.0,13.882,13.832,12.609,9.057,0.869616,4.55,0.86,False,True,False,False,False,False,True,0.3979400086720376
31696,5,1,1,0,0,1,307.85391,67.39887,78.09236,14.73989,46.5791535,290.067994,0,0,0,0,2016,0,0,0,2016.0,14.969,13.847,14.265,13.878,15.711,3.4916315,1.04925,3.33025,12.53248465,15.4527,0.9,16.392,1370.65,5601.0,13.914,13.902,12.894,9.439,0.700983,4.51,0.93,False,True,False,False,False,False,True,0.5211380837040362
31705,1,1,1,0,0,1,308.45411,61.74674,74.2274,10.52134,41.3555095,293.0925275,0,0,0,0,2015,0,2,0,2013.0,13.9154,12.958,13.306,13.008,14.487,4.9747534,-4.732,-1.53504,7.340711,14.3652,1.12,15.251,1177.55,6000.0,12.89,12.859,12.897,8.88,0.820793,4.44,1.18,False,True,False,True,False,False,False,1.0318122713303703
31716,5,1,1,0,0,1,301.78547,68.3205,77.20505,17.05193,46.692456,286.4822566,0,0,0,0,2016,0,0,0,2016.0,15.3923,14.177,14.613,14.251,16.022,4.5518477,-3.45908,2.95873,3.584101216,15.9235,0.87,16.953,1442.02,5438.0,14.337,14.21,13.172,9.49,0.664861,4.52,0.91,False,True,False,False,False,False,True,0.6599162000698503
31725,5,1,1,0,0,1,306.81969,67.58829,77.94558,15.15521,46.6174978,289.4317294,0,0,0,0,2016,0,0,0,2016.0,14.6163,13.693,13.99,13.746,15.186,4.8126095,-4.70555,-1.00946,7.03902374,15.0455,1.24,16.116,1661.87,6129.0,13.741,13.677,12.878,9.462,0.572806,4.31,1.16,False,True,False,False,False,False,True,0.4727564493172124
31736,5,1,1,0,0,1,297.14636,68.92574,76.62996,18.762,46.7896522,283.8659676,0,0,0,0,2016,0,0,0,2016.0,14.4847,12.817,13.496,12.962,15.357,12.5658268,11.7484,-4.45815,8.360868238,15.1722,0.71,16.821,489.253,4642.0,12.836,12.782,12.318,8.811,2.0154,4.62,0.76,False,True,False,False,False,False,True,0.5105450102066121
31754,5,2,1,0,0,2,313.22897,62.46018,76.4007,9.56351,42.8064255,295.57423,0,0,0,0,2016,0,0,0,2016.0,12.0356,10.777,11.234,10.837,12.66,8.9121765,-2.39356,8.58474,3.179262921,12.5411,0.85,13.371,278.987,5486.0,10.751,10.707,10.851,9.112001,3.55575,4.55,0.94,False,True,False,False,False,False,True,0.08278537031645007
31763,5,1,1,0,0,1,318.70534,66.19918,80.63242,11.06166,47.1827848,296.4960493,0,0,0,0,2016,0,0,0,2016.0,13.0954,11.931,12.354,11.998,13.718,19.5969417,-17.8045,-8.18779,12.06222443,13.5843,0.93,14.429,449.964,5594.0,11.916,11.89,11.87,9.243,2.19381,4.48,0.94,False,True,False,False,False,False,True,0.20951501454263097
31772,5,1,1,0,0,1,303.51789,58.02255,69.76878,9.67745,37.0592571,291.4994412,0,0,0,0,2016,0,0,0,2016.0,14.6677,13.621,13.998,13.664,15.427,6.5899338,-6.4166,1.50149,9.93143556,15.1634,1.04,15.512,1780.38,5849.0,13.679,13.566,12.781,9.246,0.533539,4.42,1.04,False,True,False,False,False,False,True,0.3344537511509309
31788,5,1,1,0,0,2,301.06537,62.49677,72.36887,13.55138,41.0298175,288.4165196,0,0,0,0,2016,0,0,1,2016.0,15.1047,13.63,14.241,13.792,15.595,0.7266327,0.725075,0.0475535,35.61760587,15.7244,0.78,15.465,3347.16,5096.0,13.562,13.441,12.802,9.337,0.263333,4.58,0.82,False,True,False,False,False,False,True,0.7218106152125465
31794,5,1,1,0,0,1,304.71495,58.02282,70.20931,9.21589,37.2369732,292.2628779,0,0,0,0,2016,0,0,0,2016.0,14.7048,13.603,13.99,13.685,15.37,2.1587133,-2.15676,-0.0918107,7.40742793,15.2186,1.1,15.875,1705.99,5934.0,13.716,13.591,12.709,9.392,0.558363,4.38,1.07,False,True,False,False,False,False,True,0.4014005407815441
31807,5,1,1,0,0,1,320.38329,62.21329,78.93478,7.37243,43.9040667,299.8973341,0,0,0,0,2016,0,0,0,2016.0,15.1255,13.515,14.169,13.629,16.153,37.1738699,34.9974,12.5331,17.31716585,15.7728,0.75,17.406,721.027,5009.0,13.647,13.516,13.013,9.270001,1.3602,4.59,0.79,False,True,False,False,False,False,True,0.4913616938342727
31823,1,1,1,0,0,1,302.74847,57.63743,69.19995,9.7193,36.5773443,291.1376203,0,0,0,0,2015,0,2,0,2013.0,14.575,13.118,13.665,13.262,15.414,8.3565657,-2.44918,7.9896,8.8849116,15.1789,0.89,16.237,835.356,5200.0,13.266,13.162,13.003,9.106,1.16891,4.5,0.91,False,True,False,True,False,False,False,1.0707764628434346
31833,5,1,2,0,0,1,304.11919,65.19718,75.37602,14.31346,44.004364,289.0968274,0,0,0,0,2016,0,0,0,2016.0,14.0604,13.103,13.463,13.212,14.634,7.0712802,-3.58031,-6.0979,9.42887179,14.467,1.23,15.284,1296.02,6160.0,13.168,13.157,12.603,9.053001,0.742872,4.32,1.15,False,True,False,False,False,False,True,0.48713837547718647
31839,5,1,2,0,0,1,304.11919,65.19718,75.37602,14.31346,44.004364,289.0968274,0,0,0,0,2016,0,0,0,2016.0,14.0604,13.103,13.463,13.212,14.634,7.0712802,-3.58031,-6.0979,4.08899022,14.467,1.23,15.284,1296.02,6160.0,13.168,13.157,12.603,9.053001,0.742872,4.32,1.15,False,True,False,False,False,False,True,0.20951501454263097
31852,5,1,1,0,0,1,313.19662,63.83753,77.28825,10.62831,44.0776872,294.8438103,0,0,0,0,2016,0,0,0,2016.0,14.4289,13.124,13.667,13.253,15.211,2.8160523,-2.42179,-1.43704,17.44490636,14.98,0.84,15.941,760.43,5387.0,13.245,13.133,12.898,9.091,1.28666,4.54,0.87,False,True,False,False,False,False,True,0.39093510710337914
31864,5,1,1,0,0,1,305.11639,58.71,70.85949,9.53998,37.955672,292.2681469,0,0,0,0,2016,0,0,0,2016.0,15.1781,13.939,14.459,14.014,15.864,9.5866645,9.06224,3.12729,18.82747265,15.7185,0.83,16.622,1232.29,5373.0,14.003,13.89,12.631,9.307,0.783987,4.54,0.87,False,True,False,False,False,False,True,0.4487063199050799
31869,5,1,1,0,0,1,304.55588,58.74188,70.67881,9.77228,37.9023677,291.9032411,0,0,0,0,2016,0,0,0,2016.0,13.7108,11.875,12.608,11.966,14.891,19.1936252,17.8765,-6.98756,5.747725012,14.4746,0.65,17.217,274.767,4346.0,11.678,11.57,11.675,9.269,3.61071,4.65,0.68,False,True,False,False,False,False,True,0.28103336724772754
31879,5,1,1,0,0,1,306.47906,58.37593,71.12324,8.79872,37.8461519,293.2541121,0,0,0,0,2016,0,0,0,2016.0,14.6248,13.516,13.895,13.566,15.352,5.753208,-5.7133,-0.676465,14.5596237,15.1258,1.08,15.894,1770.27,5935.0,13.559,13.516,12.671,9.231,0.537199,4.39,1.06,False,True,False,False,False,False,True,0.30319605742048883
31894,5,2,2,0,0,2,313.77425,60.51882,75.35254,7.9012,41.0973178,296.8609348,0,0,0,0,2016,0,0,0,2016.0,13.425,11.879,12.465,11.961,14.277,24.2561667,-18.6919,-15.4588,1.269090374,14.0242,0.77,15.278,399.034,5043.0,11.777,11.731,11.284,9.2,2.47725,4.58,0.82,False,True,False,False,False,False,True,0.24551266781414982
31900,5,2,2,0,0,2,313.77425,60.51882,75.35254,7.9012,41.0973178,296.8609348,0,0,0,0,2016,0,0,0,2016.0,13.425,11.879,12.465,11.961,14.277,24.2561667,-18.6919,-15.4588,2.853133644,14.0242,0.77,15.278,399.034,5043.0,11.777,11.731,11.284,9.2,2.47725,4.58,0.82,False,True,False,False,False,False,True,0.10037054511756291
31920,5,1,1,0,0,1,313.73246,60.83763,75.54039,8.16092,41.3865279,296.6804876,0,0,0,0,2016,0,0,0,2016.0,14.2354,13.043,13.502,13.16,15.066,4.3685847,3.65438,2.39375,1.022678821,14.7637,1.13,15.929,1068.68,6014.0,13.119,13.026,12.237,9.267,0.908228,4.37,1.08,False,True,False,False,False,False,True,0.13353890837021754
31930,5,1,4,0,0,1,308.29007,61.5408,74.02528,10.42657,41.1354049,293.0846115,0,0,0,0,2016,0,0,0,2016.0,13.9522,13.11,13.37,13.146,14.379,6.7857287,-6.69021,-1.13455,12.1097104,14.3267,1.42,15.882,1502.32,6228.0,13.087,13.053,12.45,9.297,0.637163,4.19,1.16,False,True,False,False,False,False,True,0.3944516808262163
31936,5,1,4,0,0,1,308.29007,61.5408,74.02528,10.42657,41.1354049,293.0846115,0,0,0,0,2016,0,0,0,2016.0,13.9522,13.11,13.37,13.146,14.379,6.7857287,-6.69021,-1.13455,4.75793986,14.3267,1.42,15.882,1502.32,6228.0,13.087,13.053,12.45,9.297,0.637163,4.19,1.16,False,True,False,False,False,False,True,0.22788670461367352
31952,5,1,4,0,0,1,308.29007,61.5408,74.02528,10.42657,41.1354049,293.0846115,0,0,0,0,2016,0,0,0,2016.0,13.9522,13.11,13.37,13.146,14.379,6.7857287,-6.69021,-1.13455,20.4966197,14.3267,1.42,15.882,1502.32,6228.0,13.087,13.053,12.45,9.297,0.637163,4.19,1.16,False,True,False,False,False,False,True,0.32633586092875144
31958,5,1,4,0,0,1,308.29007,61.5408,74.02528,10.42657,41.1354049,293.0846115,0,0,0,0,2016,0,0,0,2016.0,13.9522,13.11,13.37,13.146,14.379,6.7857287,-6.69021,-1.13455,8.1934719,14.3267,1.42,15.882,1502.32,6228.0,13.087,13.053,12.45,9.297,0.637163,4.19,1.16,False,True,False,False,False,False,True,0.1846914308175988
31978,10,1,1,0,0,1,308.91013,59.83224,73.0559,8.97802,39.6189727,294.1921185,0,0,0,0,2015,0,0,0,2013.0,12.8939,12.092,12.343,12.134,13.474,2.5738644,-2.52772,-0.48519,1.5449298,13.2755,1.32,13.478,822.96,6409.0,12.056,12.016,11.97,9.258,1.18642,4.2,1.2,False,True,True,False,False,False,False,1.183105777534869
31991,5,1,2,0,0,1,301.76802,65.68943,75.09507,15.37324,44.1794278,287.5931997,0,0,0,0,2016,0,0,0,2016.0,14.5068,13.239,13.707,13.301,15.181,3.582822,1.80397,-3.09553,8.70419416,15.0731,0.85,15.933,792.336,5322.0,13.228,13.144,12.774,9.39,1.23364,4.54,0.89,False,True,False,False,False,False,True,0.48572142648158
32007,5,1,2,0,0,1,301.76802,65.68943,75.09507,15.37324,44.1794278,287.5931997,0,0,0,0,2016,0,0,0,2016.0,14.5068,13.239,13.707,13.301,15.181,3.582822,1.80397,-3.09553,2.46697439,15.0731,0.85,15.933,792.336,5322.0,13.228,13.144,12.774,9.39,1.23364,4.54,0.89,False,True,False,False,False,False,True,0.17026171539495738
32016,5,1,1,0,0,1,306.49951,65.00566,75.93811,13.45143,44.1436249,290.503599,0,0,0,0,2016,0,0,0,2016.0,14.249,13.202,13.563,13.156,14.993,9.0746567,8.33381,3.59124,10.12804789,14.7087,0.93,15.523,830.707,5706.0,12.982,12.946,12.219,9.182,1.1751,4.48,0.95,False,True,False,False,False,False,True,0.3074960379132129
32025,5,1,1,0,0,1,310.59024,67.79267,79.14986,14.29888,47.3295107,291.2756631,0,0,0,0,2016,0,0,0,2016.0,14.9767,13.969,14.275,13.963,15.574,2.0381532,-0.284495,2.0182,3.770552098,15.4266,1.08,16.298,1898.26,5944.0,14.009,13.954,13.173,9.063,0.4976,4.4,1.06,False,True,False,False,False,False,True,1.103119253545714
32032,5,1,3,0,0,1,311.84374,67.40611,79.246,13.69152,47.1573604,292.1445534,0,0,0,0,2016,0,0,0,2016.0,15.0916,13.752,14.24,13.758,15.965,9.2643365,5.73137,7.27869,1.19655156,15.6824,0.8,16.883,962.459,5166.0,13.763,13.684,12.582,8.865,1.01093,4.57,0.84,False,True,False,False,False,False,True,0.08635983067474823
32039,5,1,3,0,0,0,311.84374,67.40611,79.246,13.69152,47.1573604,292.1445534,0,0,0,0,2017,0,0,0,2023.0,15.0916,13.752,14.24,13.758,15.965,9.2643365,5.73137,7.27869,4.09667624,15.6824,0.843,16.883,962.459,4999.0,13.763,13.684,12.582,8.865,1.01093,4.49,0.8,True,False,True,False,False,False,False,0.15228834438305647
32048,5,1,3,0,0,0,311.84374,67.40611,79.246,13.69152,47.1573604,292.1445534,0,0,0,0,2017,0,0,0,2023.0,15.0916,13.752,14.24,13.758,15.965,9.2643365,5.73137,7.27869,6.50327035,15.6824,0.843,16.883,962.459,4999.0,13.763,13.684,12.582,8.865,1.01093,4.49,0.8,True,False,True,False,False,False,False,0.22271647114758325
32053,5,1,1,0,0,1,320.0317,65.91205,80.9124,10.5171,47.1645814,297.3931183,0,0,0,0,2016,0,0,0,2016.0,14.7866,13.622,14.105,13.697,15.555,8.0126107,-4.8569,-6.37279,7.33683936,15.3002,0.89,15.731,1047.84,5557.0,13.729,13.615,13.095,8.821,0.926132,4.51,0.92,False,True,False,False,False,False,True,0.21484384804769785
32070,5,1,1,0,1,1,296.15389,69.40065,76.82872,19.32312,47.1557114,283.1846044,0,0,0,0,2016,0,0,0,2016.0,14.1436,13.175,13.487,13.168,14.709,13.7047488,11.717,-7.10859,27.6655226,14.5996,1.06,15.616,1076.28,5901.0,13.112,13.086,12.774,9.348,0.900302,4.41,1.05,False,True,False,False,False,False,True,0.38560627359831223
